topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
21,146,Graph Theory and Visualization,"graph theory, layout algorithm, compound graphs, information visualization",0.6448954345898598,0.5911541483740381,-0.08,no_trend,,,,,logit,-0.1331039090726362,0.1053545105032707,0.1354557992184909
44,139,Turkish Language Processing,"Turkish corpus, root determination, suffix extraction",0.0133102446994312,0.0047140449977152,-0.4066666666666667,decreasing,,,,,logit,-0.3317249936268482,3.829081237656659e-05,7.658162475313318e-05
13,125,Customer Segmentation,"customer segmentation, fuzzy c-means, campaign management",0.0240441695704329,0.0110202443864484,0.3633333333333333,increasing,,,,,logit,0.2249752647946246,0.020818150213361,0.0312272253200415
8,123,Chaos-Based Encryption,"chaos-based encryption, AES, DES, RSA",0.0369242075878797,0.0207698667681823,-0.3333333333333333,decreasing,,,,,logit,-0.2470291166133023,0.004279932653732,0.0070035261606524
7,103,Blockchain and Smart Contracts,"blockchain, smart contracts, distributed ledger, secure transactions",5.918173951021307e-05,1.109657615816495e-05,0.52,increasing,,0.1179792881011962,0.0393264293670654,0.0632934463840168,logit,1.6567267130825931,2.7936818988648333e-14,8.3810456965945e-14
11,98,Computing Technology Advancements,"computing technology, reliability, energy efficiency, lifetime improvement",0.0602477604315481,0.0372036043293757,0.3,increasing,,,,,logit,0.1103079291854434,0.3003981345327848,0.3379479013493829
19,75,Financial Fraud Detection,"credit card fraud, artificial neural networks, transaction monitoring",0.0025191365515738,0.0007872301723668,0.4766666666666667,increasing,,,,,logit,0.6387419235200704,3.644873005570948e-05,7.658162475313318e-05
28,73,Mobile Device Usability,"voice user interface, mobile device, usability",0.0240441695704329,0.0109061510333614,-0.3666666666666666,decreasing,,,,,logit,-0.3696966178909717,0.0005917164866398,0.001014371119954
32,69,Network Routing and Caching,"named data networking, NDN, routing, caching, scalability",0.0077657159285187,0.0025885719761729,-0.4333333333333333,decreasing,,,,,logit,-0.4597145759777951,4.519128206126372e-05,8.562558706344704e-05
41,65,Service discovery mechanism in the microservice ecosystem,"microservices, service discovery, scalable systems",0.5479136607342309,0.4680095852104888,-0.1066666666666666,no_trend,,,,,logit,-0.130598339104035,0.2799738739850838,0.3251309504342908
45,64,Vehicular Ad Hoc Networks (VANETs),"vehicular ad hoc networks, VANETs, clustering algorithms, network manageability",0.3704973431150624,0.2701543126880663,0.16,no_trend,,,,,logit,-0.0128113395402789,0.9197951185406812,0.946074979070415
23,59,Intelligent Transportation Systems,"ITS, GMR sensors, traffic data acquisition",0.0499080452604684,0.0291130264019399,0.3133333333333333,increasing,,,,,logit,0.1606238350952046,0.2558093536478375,0.311942424681534
5,49,Biomedical Signal Processing,"electroencephalogram, epilepsy detection, deep learning",0.0700500206622984,0.0467000137748656,0.28,increasing,,,,,,,,
42,48,Sign Language Recognition,"sign language recognition, nonmanual signs, facial expressions",0.1576213547737989,0.1083646814069867,0.2266666666666666,no_trend,,,,,,,,
12,46,Covid-19 Prediction,"covid-19, prediction, deep learning",8.519151565202776e-05,1.7748232427505783e-05,0.5433333333333333,increasing,,,,,,,,
18,36,Embedded Systems Design,"embedded systems, real-time multitasking, operating system design",0.0369242075878797,0.0201939946351434,-0.3333333333333333,decreasing,,,,,,,,
16,34,Document Management and Workflow Automation,"electronic document management, workflow automation, cost reduction, paperless office",0.0010156964448963,0.000296244796428,-0.5066666666666667,decreasing,,,,,,,,
30,30,Motion Capture and Animation,"locomotion generation, captured motions, blending techniques",0.0156102268426672,0.0058538350660002,-0.3866666666666666,decreasing,,,,,,,,
20,29,Game AI and Strategy,"AI, RTS games, opponent modeling",0.0369242075878797,0.0201976303545259,0.3233333333333333,increasing,,,,,,,,
29,27,Mobile Voting Security,"mobile voting, security, electronic voting",0.1724281493635854,0.1221366057992063,-0.22,no_trend,,,,,,,,
40,26,Service Granularity in SOA,"service oriented architecture, service granularity, optimization",0.6703640294401528,0.6284662776001433,-0.07,no_trend,,,,,,,,
38,23,Restful web service security,"RESTful, web services, security, data integrity, confidentiality",0.0615176832546524,0.0397301704352963,-0.2833333333333333,decreasing,,,,,,,,
46,19,Video Watermarking,"NFTs, video watermarking, security",0.5198582108066264,0.4332151756721887,0.1066666666666666,no_trend,,,,,,,,
0,15,3D Reconstruction from Images,"3D reconstruction, image sequences, camera calibration",0.5198582108066264,0.4332151756721887,-0.1066666666666666,no_trend,,,,,,,,
2,13,Audio Fingerprinting,"audio fingerprinting, song identification, content-based music information systems",,,,,,,,,,,,
