topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
23,258,Internet of Things (IoT) Control Systems,"rule-based control, internet of things, remote monitoring, device integration",0.0003979786346332,0.000105586168372,0.55,increasing,,0.3170488476753235,0.0452926925250462,0.099518217189764,logit,0.8087127710577892,5.393998307216963e-19,3.775798815051874e-18
2,256,Anomaly Detection and Security,"anomaly detection, machine learning, cybersecurity",0.0304320592958077,0.0161476232998163,0.3466666666666667,increasing,,0.3040633797645569,0.0506772299607594,0.1053803371976652,logit,0.4476328694372073,3.738941016910478e-09,1.2079655593095392e-08
27,236,Mobile Security,"continuous authentication, behavioral biometrics, mobile devices",0.0688704448230653,0.0421655784631012,-0.2933333333333333,decreasing,,0.4711288213729858,0.1177822053432464,0.211037381730325,logit,-0.2018171747889203,0.0012107891957464,0.0023115066464249
36,219,Recommendation Systems,"user behavior analysis, recommendation engines, user engagement",0.0050313419303474,0.0017455676084878,0.45,increasing,,0.2322747707366943,0.0580686926841735,0.1040451299825618,logit,0.1935041431627396,0.0088126497231104,0.0142358187834861
38,218,Robotics,"robotic manipulators, constraint control, physical systems",0.486877038823754,0.3875143778393144,0.1266666666666666,no_trend,,0.3649371862411499,0.0912342965602874,0.1634699147802556,logit,0.0792144130886894,0.2625399838291866,0.2893836831418422
37,199,Remote Sensing,"hyperspectral imaging, ensemble learning, classification",0.3781648844260619,0.2932707266977623,0.1533333333333333,no_trend,,0.2185279726982116,0.0728426575660705,0.1172357347292886,logit,0.0902248496192224,0.2242989681938516,0.2580097371229778
41,188,Sentiment Analysis Turkish,"sentiment analysis, Turkish language, review sites",0.0003643907763857,8.923855748221854e-05,0.56,increasing,,0.1534094214439392,0.0383523553609848,0.0687181958852438,logit,0.4485162308987726,3.348641591793352e-07,8.790184178457547e-07
7,179,Biometrics and Security,"biometric hand vein, deep learning, GAN",0.944141999801307,0.944141999801307,-0.0133333333333333,no_trend,,,,,logit,-0.1099524474889712,0.1355780484220908,0.1674787656978769
13,177,Database Security,"database security, data breaches, SQL injection, encryption",0.000128796801102,2.3656555304452095e-05,-0.6066666666666667,decreasing,,,,,logit,-0.4785768533938637,1.0449414056680607e-11,3.989776276187141e-11
24,175,Legal NLP,"legal nlp, citation recommendation, legal texts",0.5548352245890741,0.498219385345291,0.1,no_trend,,0.0811214447021484,0.0811214447021484,0.0891210160242908,logit,0.1566428299444399,0.0546102853980493,0.0739881286038087
5,157,Bioinformatics,"DNA sequence alignment, high throughput sequencing, gpgpus",0.5143559151043646,0.4408764986608839,0.1133333333333333,no_trend,,,,,logit,-0.0443151784508163,0.5822575720740893,0.5964589762710184
15,153,E-Learning Content Evaluation,"e-learning, semantic web, recommender systems",0.0002140135073384,4.367622598744347e-05,-0.5866666666666667,decreasing,,,,,logit,-0.5111356006964778,1.512637376009873e-11,5.294230816034556e-11
47,151,Time Series Analysis,"time series analysis, trend prediction, pattern recognition",0.000128796801102,2.262474368786016e-05,0.6066666666666667,increasing,,0.2879911065101623,0.0719977766275405,0.1290026980357622,logit,0.5609207323047624,6.367692380443843e-08,1.910307714133153e-07
40,151,Semantic Web Services Discovery,"web services, semantic metadata, discovery",0.0001071355343561,6.559318429966154e-06,-0.6466666666666666,decreasing,,,,,logit,-0.9100918873548822,3.043993510331878e-29,4.261590914464629e-28
20,129,Human Activity Recognition,"human activity recognition, wireless ambient sensor networks, ambient assisted living",0.0455901201612201,0.0261494595527773,0.32,increasing,,,,,logit,0.1028247533576809,0.2687134200602821,0.2893836831418422
19,128,Health Informatics,"medication usage control, patient compliance, healthcare management",0.8689844576831689,0.8335157043083457,-0.0333333333333333,no_trend,,,,,logit,-0.1615893124517748,0.057660218220555,0.0756790364144784
6,120,Biological Interaction Networks,"gene expression profiling, GWAS, biological interactions",0.8300383418998484,0.7792196679059802,0.0433333333333333,no_trend,,,,,logit,-0.1914286227226181,0.0321861553306022,0.0478433426977693
0,85,3D Modeling Techniques,"stereo vision, moving cameras, 3D reconstruction",0.0376934619126272,0.0207698667681823,-0.3333333333333333,decreasing,,,,,logit,-0.3967730678178947,9.256137189329997e-05,0.0001943788809759
30,85,Multi-Agent Systems and Cooperation,"multi-agent systems, reinforcement learning, social dilemmas, cooperation",0.000128796801102,1.7196825989218567e-05,-0.6166666666666667,decreasing,,,,,logit,-0.7570742448188438,3.7127129833337433e-13,1.7325993922224137e-12
8,84,Blockchain and Digital Asset Security,"blockchain, digital asset security, music royalties",0.000128796801102,1.858779819352563e-05,0.5066666666666667,increasing,,0.0604739189147949,0.0604739189147949,0.0664373904637125,logit,1.7221709604792297,2.9686992821704685e-12,1.2468536985115966e-11
39,82,Scheduling Algorithms,"hyper-heuristic, examination timetabling, scheduling",0.1427824521119156,0.1019874657942254,-0.2366666666666666,no_trend,,,,,logit,-0.2902584006976742,0.0054519578418209,0.0091592891742592
4,75,Autonomous Vehicles and AI Ethics,"explainable ai, deep reinforcement learning, autonomous vehicles, ethics",0.0021650722593465,0.0006627772222489,0.4833333333333333,increasing,,,,,logit,0.7006339144034041,1.1834515465826997e-05,2.9238214680278464e-05
18,69,Graph Visualization Complexity Management,"graph visualization, complexity management, navigation links, graph nesting",0.5054097862540365,0.4125794173502339,-0.12,no_trend,,,,,logit,-0.1427992554048574,0.2272942922273853,0.2580097371229778
44,68,Social Media Identity Verification,"social media, identity verification, pseudonyms, activism",0.0455901201612201,0.026981907850518,0.3133333333333333,increasing,,,,,logit,0.1006138842324534,0.4303137265452652,0.4518294128725285
35,65,Process Mining,"process mining, BPMN, process discovery",0.000128796801102,1.5555676707190713e-05,-0.62,decreasing,,,,,logit,-0.4884144765929443,2.259385760782585e-05,5.271900108492699e-05
17,56,Game-Based Learning,"digital game-based learning, serious gaming, interactive learning",0.0178612890715651,0.0083838703805305,0.3766666666666666,increasing,,,,,logit,0.227601619780163,0.1149891485878344,0.1463498254754257
50,54,Video Quality and Depth Perception,"3D video, depth cues, video quality evaluation",0.0207785885123448,0.0101772678427811,-0.37,decreasing,,,,,logit,-0.3982276093550199,0.0022706532115742,0.0041464102124399
42,54,Sign Language Recognition,"sign language recognition, computer vision, machine learning",0.1016037080482127,0.0663680844612575,0.2633333333333333,no_trend,,,,,logit,0.1916711152601024,0.2004376569102921,0.2405251882923506
3,54,Audio Emotion Recognition,"emotion recognition, audio signals, cross-modal transfer learning",0.0150795792498155,0.0067704233366518,0.38,increasing,,,,,logit,0.4744358970022002,0.005220526273145,0.0091359209780039
16,52,Economics and Market Simulation,"agent-based simulation, economics, market behavior",0.5448713261547643,0.4781523882582625,-0.1033333333333333,no_trend,,,,,logit,-0.0313313498940561,0.8172840577184385,0.8172840577184385
11,44,Customer Churn Analysis in Telecommunication Industry,"customer churn, telecommunication, predictive analytics, retention strategy",0.1016037080482127,0.0651654963548167,0.2633333333333333,no_trend,,,,,,,,
28,33,Model Management and Simulation,"model management, hypothesis-driven experiments, simulation workflow",0.0100063576357282,0.0040842276064196,-0.41,decreasing,,,,,,,,
48,24,UAV Test Mechanisms,"rotary wing UAV, test mechanism, military application",0.0304320592958077,0.0159748930686014,0.3266666666666666,increasing,,,,,,,,
46,23,Text Normalization,"text normalization, lexical features, contextual features, social media",0.1156211549870791,0.0802269238685855,-0.2466666666666666,no_trend,,,,,,,,
29,18,Motor Control Engineering,"PMSM, online parameter estimation, saturation prediction",0.9181502952723544,0.8994125341443473,-0.02,no_trend,,,,,,,,
14,17,Digital Asset Security,"digital wallets, self-sovereign identity, cryptographic keys",0.0135237824752196,0.0057959067750941,0.34,increasing,,,,,,,,
21,15,IPv4 to IPv6 Transition Analysis,"IPv4, IPv6, network transition",0.1488708188732924,0.1093744791722148,-0.21,no_trend,,,,,,,,
31,14,Multimodal Robotics,"multimodal system, audio-visual tracking, robot perception",,,,,,,,,,,,
1,13,Animal Behavior Analysis,"deep learning, computer vision, animal behavior, digital image processing",,,,,,,,,,,,
49,12,Urbanization and Remote Sensing,"urbanization, remote sensing, heat island effect",,,,,,,,,,,,
